R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_wins,B_losses,B_draw,R_wins,R_losses,R_draw,B_Stance,R_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Adrian Yanez,Gustavo Lopez,Chris Tognoni,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,1,1,0,1,0,0,Orthodox,Orthodox,165.1,170.18,135.0,170.18,177.8,135.0,31.0,27.0
Trevin Giles,Roman Dolidze,Herb Dean,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Middleweight,2,0,0,4,2,0,Orthodox,Orthodox,187.96,193.04,205.0,182.88,187.96,185.0,32.0,28.0
Tai Tuivasa,Harry Hunsucker,Herb Dean,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Heavyweight,0,0,0,4,3,0,Orthodox,Southpaw,187.96,190.5,241.0,187.96,190.5,264.0,32.0,28.0
Cheyanne Buys,Montserrat Conejo,Mark Smith,03/20_2021,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,0,0,0,0,0,0,Southpaw,Switch,152.4,154.94,115.0,160.02,160.02,115.0,28.0,25.0
Marion Reneau,Macy Chiasson,Mark Smith,03/20_2021,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight,4,1,0,5,6,0,Orthodox,Orthodox,180.34,182.88,135.0,167.64,172.72,135.0,29.0,43.0
Leonardo Santos,Grant Dawson,Chris Tognoni,03/20_2021,"Las Vegas, Nevada, USA",Blue,False,Lightweight,4,0,0,7,1,0,Switch,Orthodox,177.8,182.88,145.0,182.88,190.5,155.0,27.0,41.0
Song Kenan,Max Griffin,Keith Peterson,03/20_2021,"Las Vegas, Nevada, USA",Blue,False,Welterweight,4,6,0,4,1,0,Orthodox,Orthodox,180.34,193.04,170.0,182.88,180.34,170.0,35.0,31.0
Derek Brunson,Kevin Holland,Herb Dean,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Middleweight,8,2,0,12,5,0,Orthodox,Southpaw,190.5,205.74,185.0,185.42,195.58,185.0,28.0,37.0
Montel Jackson,Jesse Strader,Keith Peterson,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0,0,0,3,2,0,Orthodox,Southpaw,170.18,177.8,135.0,177.8,190.5,135.0,29.0,28.0
Misha Cirkunov,Ryan Spann,Mark Smith,03/13_2021,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,4,1,0,6,3,0,Orthodox,Orthodox,195.58,200.66,205.0,190.5,195.58,205.0,29.0,34.0
Leon Edwards,Belal Muhammad,Herb Dean,03/13_2021,"Las Vegas, Nevada, USA",Draw,False,Welterweight,9,3,0,10,2,0,Orthodox,Southpaw,180.34,182.88,170.0,187.96,187.96,170.0,32.0,29.0
Charles Jourdain,Marcelo Rojo,Mark Smith,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,0,0,0,1,3,0,Orthodox,Switch,172.72,180.34,145.0,175.26,175.26,145.0,32.0,25.0
Eryk Anders,Darren Stewart,Herb Dean,03/13_2021,"Las Vegas, Nevada, USA",Draw,False,Middleweight,5,6,0,5,5,0,Orthodox,Southpaw,182.88,187.96,185.0,185.42,190.5,185.0,30.0,33.0
Angela Hill,Ashley Yoder,Mike Beltran,03/13_2021,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight,3,5,0,7,9,0,Southpaw,Orthodox,170.18,175.26,115.0,160.02,162.56,115.0,33.0,36.0
Jonathan Martinez,Davey Grant,Chris Tognoni,03/13_2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,3,3,0,4,2,0,Orthodox,Southpaw,172.72,175.26,135.0,172.72,177.8,135.0,35.0,26.0
Dan Ige,Gavin Tucker,Mike Beltran,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,4,1,0,6,2,0,Southpaw,Orthodox,167.64,167.64,145.0,170.18,180.34,145.0,34.0,29.0
Nasrat Haqparast,Rafa Garcia,Chris Tognoni,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Lightweight,0,0,0,4,2,0,Orthodox,Southpaw,170.18,177.8,155.0,177.8,182.88,155.0,26.0,25.0
Cortney Casey,JJ Aldrich,Mark Smith,03/13_2021,"Las Vegas, Nevada, USA",Blue,False,WomenFlyweight,4,3,0,5,7,0,Southpaw,Orthodox,165.1,170.18,125.0,170.18,170.18,125.0,28.0,33.0
Matthew Semelsberger,Jason Witt,Chris Tognoni,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Welterweight,1,1,0,1,0,0,Orthodox,Switch,177.8,177.8,170.0,185.42,190.5,170.0,34.0,28.0
